Plant Name,Family,Common Name,Uses,Image File
Cryptolepis buchananii R.Br. ex Roem. & Schult.,ASCLEPIADACEAE,"Karanta, Kalisar","It is used to treat bodyache,cholera, dropsy, dysentery,rickets in children. Latex is used to
 treat cuts, fissures on soles. Root is used to treat abdomen pain, rheumatism.",Cryptolepis buchananii R.Br._ex_Roem._&_Schult..jpg
Cucubalus bacciferous L.,CARYOPHYLLACEAE,Berry-bearing Catchfly (Eng.),In order to check haemorrhage the decoction is used.,Cucubalus_bacciferous_L..jpg
Cucumis callosus (Rottl.) Cogn.,CUCURBITACEAE,Kharbooza,"Seeds are used as diuretic, refrigerant, nutritious. Pulp useful in chronic eczema.",Cucumis_callosus_Rottl._Cogn..jpg
Cucumis melo L.,CUCURBITACEAE,Kharbuja,"Seeds are used as diuretic, refrigerant, nutritious. Pulp useful in chronic eczema.",Cucumis_melo_L..jpg
Cucumis prophetarum L.,CUCURBITACEAE,Khad-Kachar (Rajasthan),"Used as emetic and purgative, highly toxic.",Cucumis_prophetarum_L..jpg
Cucumis sativus L.,CUCURBITACEAE,Khira,"Seeds used as diuretic, tonic and refrigerant.",Cucumis_sativus_L..jpg
Cucurbita maxima Duchesne,CUCURBITACEAE,"Lal kumra, Mitha kumra","Seeds useful as  taeniacide, tonic and diuretic. Fruit pulp is used as poultice on boils, burns and inflammations.",Cucurbita_maxima_Duchesne.jpg
Cucurbita pepo L.,CUCURBITACEAE,"Kumra, Safedkaddu",Seeds eaten and also used as a taeniacide.,Cucurbita_pepo_L..jpg
Cupressus sempervirens L.,CUPRESSACEAE,"Sara, Saras",Leaf used in treatment of whooping cough.,Cupressus_sempervirens_L..jpg
Curculigo orchioides Gaertn.,AMARYLLIDACEAE,"Kali musli, Syahmusali","Tuberous roots used for skin troubles. Considered demulcent, diuretic, and tonic. Also used in piles, diarrhoea, jaundice, and asthma.",Curculigo_orchioides_Gaertn..jpg
Curcuma angustifolia Roxb.,ZINGIBERACEAE,Tikhur,"Rhizome used for fever, diarrhoea, gravel, swellings and skin diseases. Oil antibacterial, antifungal, anthelmintic against tape worms.",Curcuma_angustifolia_Roxb..jpg
Curcuma aromatica Salisb.,ZINGIBERACEAE,Jangli-haldi,"Rhizomes is used as antimicrobial, antifungal and
anthelmintic. The tubers are used in skin eruptions and infections.",Curcuma_aromatica_Salisb..jpg
Curcuma leucorrhiza Roxb.,ZINGIBERACEAE,Tikar (Beng.),"Rhizome used in enlarged liver & spleen, ulcer in stomach.",Curcuma_leucorrhiza_Roxb..jpg
Curcuma longa L.,ZINGIBERACEAE,"Haldi, Halada","Tubers and rhizomes used to remove liver obstruction, dropsy, jaundice; externally used for ulcers and inflemation, etc..",Curcuma_longa_L..jpg
Curcuma rubescens Roxb.,ZINGIBERACEAE,Ruby (Eng.),"Tubers used in typhoid fevers, ulceration of the wels and bladder.",Curcuma_rubescens_Roxb..jpg
Curcuma zeodoria Roxb.,ZINGIBERACEAE,Kachura,"Fresh root is used for checking lecorrhoeal discharge; also for blood purification. Zedoary?s
effect on digestive organs is similar to ginger but milder.Carminative, stomachic,
gastrointestinal stimulant, diuretic, expectorant, demulcent, rubefacient. Used in flatulence and dyspepsia.",Curcuma_zeodoria_Roxb..jpg
Cuscuta chinensis Lam.,CONVOLVULACEAE,Dodder (Eng.),It is used as a Purgative in flatulence and liver problems and applied to itches.,Cuscuta_chinensis_Lam..jpg
Cuscuta hyalina Roth.,CONVOLVULACEAE,Niradhari,"Used in case of chest pains,",Cuscuta_hyalina_Roth..jpg
Cuscuta reflexa Roxb.,CONVOLVULACEAE,"Akasbel, Amarbel","It is used as a Purgative in flatulence and liver problems and applied to itches. Seeds have diaphoretic,
demulcent, and tonic properties.",Cuscuta_reflexa_Roxb..jpg
Cyathula prostrata Blume,AMARANTHACEAE,Lal Chirchita,Root decoction is used in dysentery. It is used for skin complaints.,Cyathula_prostrata_Blume.jpg
Cycas circinalis L.,CYCADACEAE,Jangli-madan-mast-ka-phul,Leaf extract relieves flatulence.,Cycas_circinalis_L..jpg
Cycas rumphii Miq.,CYCADACEAE,Kama (Tam.),It has galactologue and stomachic properties.,Cycas_rumphii_Miq..jpg
Cyclea peltata Hook.f. & Thomson,MENISPERMACEAE,Bruhat patha (Sans.),"Tuber is used as a febrifuge,tonic  and stomachic.",Cyclea_peltata_Hook.f._&_Thomson.jpg
Cydonia oblonga Mill.,ROSACEAE,Bihi,"Mucilaginous seeds are used as a demulcent vehicle for other medicines, specially used for skin lotions. Mucilage used in preparation of cosmetic lotions and creams;",Cydonia_oblonga_Mill..jpg
Cymbidium simulans Rolfe,ORCHIDACEAE,Aloe-leafed Cymbidium (Eng.),The plant is a source of a salep which is used as demulcent and nutrient. The plant is having emetic and purgative properties.,Cymbidium_simulans_Rolfe.jpg
Cymbopogon flexuosus (Nees ex Steud.) Will.Watson,POACEAE,"Lemongrass (Eng.), Kodi-pullu (Mal.)",Oil used as mosquito repellent.,Cymbopogon_flexuosus_Nees_ex_Steud._Will.Watson.jpg
Cymbopogon jwarancusa (Jones) Schult.,POACEAE,Lamajjaka (Sans.),"Used in cough, chronic rheumatism, cholera, dyspepsia, and gout.",Cymbopogon_jwarancusa_Jones_Schult..jpg
Cymbopogon martinii (Roxb.) Will.Watson,POACEAE,Gandh bel,"It's oil is used externally for stiff joints and lumbago, skin diseases, and in the treatment of baldness.",Cymbopogon_martinii_Roxb._Will.Watson.jpg
Cymbopogon nardus (L.) Rendle,POACEAE,Ganjni,"Oil used as insecticides, spraying liquids, disinfectants.",Cymbopogon_nardus_L._Rendle.jpg
Cymbopogon schoenanthus (L.) Spreng.,POACEAE,Rousaghas,Used as an aromatic astringent; essential oil applied in  heumatism and neuralgia.,Cymbopogon_schoenanthus_L._Spreng..jpg
Cynara scolymus L.,ASTERACEAE,"Hathichak, Hathi-choke","Flower heads contain inulin, useful in the diet of dibetics, Leaves bitter, considered diuretic and used in dropsy and rheumatism.",Cynara_scolymus_L..jpg
Cynodon dactylon (L.) Pers.,POACEAE,"Dhub, Hariali",Rhizomes used in genito-urinary troubles.,Cynodon_dactylon_L._Pers..jpg
Cynoglossum glochidiatum Wall. ex Benth.,BORAGINACEAE,Dhalabrauisabta (Assam),Used for controlling vomiting in infants.,Cynoglossum_glochidiatum_Wall._ex_Benth..jpg
Cynoglossum lanceolatum Forsk.,BORAGINACEAE,Kuro (Nepali),Used in preparing aphrodiasic medicines and used in relieving muscle pains.,Cynoglossum_lanceolatum_Forsk..jpg
Cynometra ramiflora L.,CAESALPINIACEAE,Madhuka (Sans.),"Oil from the seeds used for leprosy, scabies, and other cutaneous diseases. A lotion prepared from the leaves is used for the same purposes.",Cynometra_ramiflora_L..jpg
Cyperus articulatus L.,CYPERACEAE,Guinea Rush (Eng.),Tubers tonic and stimulant.,Cyperus_articulatus_L..jpg
Cyperus iria L.,CYPERACEAE,Bara chuncha (Beng.),"Culms used and considered stimulant, tonic, astringent, and stomachic.",Cyperus_iria_L..jpg
Cyperus rotundus L.,CYPERACEAE,"Motha, Mutha (Beng.)","Dried tuberous roots are aromatic used in diuretic
diaphoretic, and astringent properties; used in stomach and bowel complaints.",Cyperus_rotundus_L..jpg
Cyperus stoloniferous Retz.,CYPERACEAE,Jatamasi (Mar.),Tubers stimulant and cardiac tonic.,Cyperus_stoloniferous_Retz..jpg
Cyperus triceps (Rottb.) Endl.,CYPERACEAE,Nirbisi,Root oil used for stimulating liver and to relieve pruritus.,Cyperus_triceps_Rottb._Endl..jpg
Cyrtophyllum peregrinum Blume,LOGANIACEAE,Anan (Burma),"Bark is used in malaria, contains an alkaloid and a bitter substance.",Cyrtophyllum_peregrinum_Blume.jpg
Cytisus scoparius Link.,FABACEAE,Scotch broom (Eng.),"The green twigs of the plant before flowering is used as cardiac tonic, and diuretic in dropsy. The plant contains alkaloid sparteine which is used in the form of sulphate in heart ailments, such as tachycardia and functional palpitation.",Cytisus_scoparius_Link..jpg
Dactyloctenium aegyptium (L.) Willd.,POACEAE,"Makra, Makri","Grass used in intestinal, biliary
and urinary diseases.",Dactyloctenium_aegyptium_L._Willd..jpg
Dactylorhiza hatagirea (D. Don) Soo,ORCHIDACEAE,"Salampanja, Salam","Tubers used as tonic, in bone fracture and wounds.",Dactylorhiza_hatagirea_D._Don_Soo.jpg
Dalbergia lanceolaria L.f.,FABACEAE,"Takoli, Bithua",In dyspepsia the decoction of bark is used. For rheumatism seed oil are utilized.,Dalbergia_lanceolaria_L.f..jpg
Dalbergia latifolia Roxb.,FABACEAE,Shisham,The bark of the plant is used for backache and also for veterinary ulcers and wounds. The stem of the plant is employed for eczema and  pimples.,Dalbergia_latifolia_Roxb..jpg
Dalbergia pinnata (Lour.) Prain.,FABACEAE,Keti (Assam),Roots are anthelmintic and also used as a masticatory.,Dalbergia_pinnata_Lour._Prain..jpg
Dalbergia sissoo Roxb. ex DC.,FABACEAE,"Shisham, Sissu","The leaf of the plant is having antiemetic properties. The leaf is used in dysentery, eruptions, gonorrhoea and scurf and for skin diseases.The ste is employed in leprosy.",Dalbergia_sissoo_Roxb._ex_DC..jpg
Dalbergia spinosa Roxb.,FABACEAE,Chillanki (Tel.),To relieve the effect of alcohol powdered roots are taken with water.,Dalbergia_spinosa_Roxb..jpg
Dalbergia stipulacea Roxb.,FABACEAE,Tateberi (Nepal),Bark and root used as fish-poison.,Dalbergia_stipulacea_Roxb..jpg
Dalbergia volubilis Roxb.,FABACEAE,Bhatia,Juice of leaves used for gargles and application to aphthae.,Dalbergia_volubilis_Roxb..jpg
Daphne oleoides Schreb.,THYMELAEACEAE,Kutilal (Punjab),Root is purgative. Bark and leaves are used to treat skin troubles.,Daphne_oleoides_Schreb..jpg
Daphne papyracea Wall. ex Steud.,THYMELAEACEAE,Satpura setburwa,"Root is used against skin diseases, gonorrhoea. EtOH extract is used as cardiac 
depressant. Root and fruits are used in gastric troubles, body ache, muscular pain, headache, fever, cold, cough, 
blood purifier.",Daphne_papyracea_Wall._ex_Steud..jpg
Datisca cannabina L.,DATISCACEAE,Akalbir,"Herb is diuretic, expectorantand purgative; used for gastric and scrofulous complaints and as a febrifuge.",Datisca_cannabina_L..jpg
Datura innoxia Mill.,SOLANACEAE,Safed Dhatura,"Yields scopolamine, a cerebral depressant used in treatment of agitated or maniacal mental conditions.",Datura_innoxia_Mill..jpg
Datura metal L.,SOLANACEAE,Sadahdhatura,Leaves have narcotic and antispasmodic properties.,Datura_metal_L..jpg
Datura stramonium L.,SOLANACEAE,Dhatura,"Leaves have narcotic, antispasmodic, mydriatic and anodyne properties.",Datura_stramonium_L..jpg
Daucas carota L.,APIACEAE,Gajar,"Carrot is astrigent to the bowels, anti dysentric, carminative, cardiotonic; cures leprosy, piles' pains, burning sensation. The seeds are considered to be nervine tonic.",Daucas_carota_L..jpg
Decalepis hamiltonii Wight & Arn.,ASCLEPIADACEAE,Mahali kizhangu (Tam.),Root is depurative.,Decalepis_hamiltonii_Wight_&_Arn..jpg
Deeringia amaranthoides Merill.,AMARANTHACEAE,Latman,Roots are used  as sternutatory. Leaves are applied to sores.,Deeringia_amaranthoides_Merill..jpg
Delonix elata (L.) Gamble,CAESALPINIACEAE,Sankasura (Mar.),"Bark antiperiodic, febrifuge. Plant antirheumatic,
spasmogenic. Flowers active against roundworm.",Delonix_elata_L._Gamble.jpg
Delphinium brunonianum Royle,RANUNCULACEAE,Laskar (Punjab),Leaf juice is  used to destroy ticks and also acts as a cardiac and respiratory depressant.,Delphinium_brunonianum_Royle.jpg
Delphinium denudatum Wall. ex Hook.f. & Thomson,RANUNCULACEAE,"Jadwar, Nirbisi",Root has stimulant and tonic  properties used in relieving toothache.,Delphinium_denudatum_Wall._ex_Hook.f._&_Thomson.jpg
Delphinium vestitum Wall. ex Royle,RANUNCULACEAE,"Juha, Kalulu",Used as a Cardiac and respiratory depressant.,Delphinium_vestitum_Wall._ex_Royle.jpg
Dendrobium crumenatum Sw.,ORCHIDACEAE,Pigeon Orchid (Eng.),The crushed leaves used for poulticing boils and pimples.For nervous infections the plant is used.,Dendrobium_crumenatum_Sw..jpg
Dendrobium ovatum (L.) Kraenzl.,ORCHIDACEAE,Nagli (Mar.),"The juice of the plant is prescribed in stomach-ache, also it is having  laxative properties since iit excites bile.",Dendrobium_ovatum_L._Kraenzl..jpg
Dendrocalamus strictus (Roxb.) Nees,POACEAE,"Bans kaban, Bans khurd","Leaf used in cough. Roots in
fever. Bark on injuries and tonic.",Dendrocalamus_strictus_Roxb._Nees.jpg
Dendrocnide sinuata (Bl.) Chaw.,URTICACEAE,"Morange, Utigun",Juice of the roots are used in chronic fever.,Dendrocnide_sinuata_Bl._Chaw..jpg
Dendrophthoe elastica (Desr.) Danser,LORANTHACEAE,Andagan (Tam.),Leaves are lithontriptic and used to check abortion.,Dendrophthoe_elastica_Desr._Danser.jpg
Dendrophthoe falcata (L.f.) Ettingshausen,LORANTHACEAE,Banda,"Bark is astringent and used to treat menstrual troubles, mania and asthma.",Dendrophthoe_falcata_L.f._Ettingshausen.jpg
Derris ferruginea (Roxb.) Benth.,FABACEAE,"Ruphang-doukha, Aru (Assam)",For insecticide and fish-poison roots are used. Contain rotenone.,Derris_ferruginea_Roxb._Benth..jpg
Derris indica (Lam.) Bennet.,FABACEAE,"Karanj, Dithori","In case of scabies, herpes, leucoderma, and other cutaneous diseases it is applied medicinally; Internally it is used in dyspepsia with sluggish liver. Leaves juice adviced in flatulence, dyspepsia, diarrhoea, and cough; also used in leprosy and gonorrhoea.Roots juice used for cleansing foul ulcers and fistulous sores and for cleaning teeth and strengthening gums. For fish-poison roots and leaves are used. Fresh bark are taken for piles. Decoction of",Derris_indica_Lam._Bennet..jpg
Derris scandens (Roxb.) ex. Benth.,FABACEAE,Gonj,"The plant is used as fish-poison, but has no insecticidal value.",Derris_scandens_Roxb._ex._Benth..jpg
Derris trifoliata Lour.,FABACEAE,Panlata (Beng.),The plant is used as a stimulant and antispasmodic  and is also utilized to counter-irritant.,Derris_trifoliata_Lour..jpg
Descurainia sophia (L.) Webb ex Prantl,BRASSICACEAE,Khubkallana,Flowers and leaves astringent and antiscorbutic. Seeds given in dysentery and calculus complaints.,Descurainia_sophia_L._Webb_ex_Prantl.jpg
Desmodium elegans DC.,FABACEAE,Sambar,"Roots are used as ascarminative, tonic and diuretic and also in bilious complaints.",Desmodium_elegans_DC..jpg
Desmodium gangeticum (L.) DC.,FABACEAE,"Sarivan, Salpan","Roots are used as febrifuge, expectorant, and diuretic.",Desmodium_gangeticum_L._DC..jpg
Desmodium heterocarpon (L.) DC.,FABACEAE,Chepputatta (Tel.),Decoction is used in coughs. The plant is used for convulsions.,Desmodium_heterocarpon_L._DC..jpg
Desmodium pulchellum (L.) Benth.,FABACEAE,"Chapor, Dheknanadak (Local names)","The decoction of bark is used in haemorrhage, diarrhoea, poisoning and eye diseases. Flowers used for biliousness",Desmodium_pulchellum_L._Benth..jpg
Desmodium triflorum (L.) DC.,FABACEAE,Kudaliya,"Leaves are used for dysentery, diarrhoea, and convulsions and as a galactagogue.",Desmodium_triflorum_L._DC..jpg
Desmodium triquetrum (L.) DC.,FABACEAE,Adkhapanal (Mal.),Leaves extract used for piles.,Desmodium_triquetrum_L._DC..jpg
Desmos chinensis Lour.,ANNONACEAE,Aitaala (Kannada),Decoction prepered from  the root is used for dysentery and vertigo.,Desmos_chinensis_Lour..jpg
Desmos cochinchinensis Lour.,ANNONACEAE,Dwarf ylang-ylang (Eng.),Root decoction  has febrifuge property.,Desmos_cochinchinensis_Lour..jpg
Desmostachya bipinnata (L.) Stapf,POACEAE,"Dab, Durva","Culms diuretic, used in dysentery and menorrhagia.",Desmostachya_bipinnata_L._Stapf.jpg
Dianthus anatolicus Boiss.,CARYOPHYLLACEAE,Kanturiyan (Indian Bazaars),As an antiperiodic in intermittent fevers the plant is being used.,Dianthus_anatolicus_Boiss..jpg
Dianthus caryophyllus L.,CARYOPHYLLACEAE,Clove pink (Eng.),"An essential oil is derived from the flowers which is being used as an excellent fixative. The flowers of the plant is used as cardiotonic, diaphoretic, and lexeteric.",Dianthus_caryophyllus_L..jpg
Dichroa febrifuga Lour.,SAXIFRAGACEAE,Basak,Roots and leafy tops are used in malarial fevers. Therapeutic activity due to quinazoline derivatives.,Dichroa_febrifuga_Lour..jpg
Dichrostachys cinerea (L.) Wight & Arn.,MIMOSACEAE,"Kheri, Vartuli","Root used in renal infections,
urinary calculi, also in rheumatism. Tender shoots used in externally for ophthalmia.",Dichrostachys_cinerea_L._Wight_&_Arn..jpg
Dicliptera bupleuroides Nees,ACANTHACEAE,Bouna (Simla),It is used a tonic.,Dicliptera_bupleuroides_Nees.jpg
Dicoma tomentosa Cass.,ASTERACEAE,Navananjichapala (Mar.),Plants are used as a  febrifuge. It is employed as a local application to putrescent wounds.,Dicoma_tomentosa_Cass..jpg
Dictamnus albus L.,RUTACEAE,Burning Bush (Eng.),"Root-bark decoction is used in nervous diseases, amenorrhoea,and hysteria, scabies and other skin infections.",Dictamnus_albus_L..jpg
Didymocarpus pedicillatus R.Br.,GESNERIACEAE,Pathar phori,Leaves yield an essential oil.,Didymocarpus_pedicillatus_R.Br..jpg
Digera muricata (L.) Mart.,AMARANTHACEAE,Latmhuria,Flowers and seeds are used to treat urinary discharges.,Digera_muricata_L._Mart..jpg
Digitalis lanata Ehrh.,SCROPHULARIACEAE,Grecian Foxglobe (Eng.),Leaves yield digioxin.,Digitalis_lanata_Ehrh..jpg
Digitalis purpurea L.,SCROPHULARIACEAE,Common Foxglove (Eng.),Leaf extract yields the drug digitalis which is used in treatment of cardiac problems.,Digitalis_purpurea_L..jpg
Dillenia indica L.,DILLENIACEAE,Chalta,Fruit has tonic and laxative properties.,Dillenia_indica_L..jpg
Dimocarpus longan Lour.,SAPINDACEAE,Ashphal (Beng.),Bark contains tanninand seeds a fatty oil and saponin. Aril used as a tonic and refrigerant.,Dimocarpus_longan_Lour..jpg
Dinochloa andamanica Kurz,POACEAE,Baradaha-barat (Andamans),Used for as a vermifuge.,Dinochloa_andamanica_Kurz.jpg
Dioscorea alata L.,DIOSCOREACEAE,"Chupri alu, Khamalu","Tuber used in leprosy and
piles.",Dioscorea_alata_L..jpg
Dioscorea bulbifera L.,DIOSCOREACEAE,"Ratalu, Suaralu",Tubers dried and pounded applied to ulcers; also used in piles and dysentery.,Dioscorea_bulbifera_L..jpg
Dioscorea deltoidea Wall. ex Kunth,DIOSCOREACEAE,"Kins (Kash.), Kriss (Punjab)","Tubers used as fishpoison
and to kill lice.",Dioscorea_deltoidea_Wall._ex_Kunth.jpg
Dioscorea esculenta Burkill,DIOSCOREACEAE,"Suthni, Su nialu (Beng.)",Grated tubers used on swellings.,Dioscorea_esculenta_Burkill.jpg
